ROI,Mean Activation,Max Activation,Std Activation,Range Activation,Active Vertices,Total Vertices
bankssts-lh,0.0,0.0,0.0,0.0,0,3
bankssts-rh,0.0,0.0,0.0,0.0,0,1
caudalanteriorcingulate-lh,0.0,0.0,0.0,0.0,0,3
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0,4
caudalmiddlefrontal-rh,0.014961033159574085,0.1579989334145612,0.07224517083868183,0.27636067916051765,2,4
cuneus-lh,0.0,0.0,0.0,0.0,0,5
cuneus-rh,0.0,0.0,0.0,0.0,0,3
entorhinal-lh,0.0,0.0,0.0,0.0,0,1
entorhinal-rh,0.0,0.0,0.0,0.0,0,2
frontalpole-lh,0.0,0.0,0.0,0.0,0,2
frontalpole-rh,0.0,0.0,0.0,0.0,0,1
fusiform-lh,0.0,0.0,0.0,0.0,0,8
fusiform-rh,0.0,0.0,0.0,0.0,0,10
inferiorparietal-lh,0.0,0.0,0.0,0.0,0,14
inferiorparietal-rh,0.0,0.0,0.0,0.0,0,15
inferiortemporal-lh,0.0,0.0,0.0,0.0,0,5
inferiortemporal-rh,0.0,0.0,0.0,0.0,0,4
insula-lh,0.0,0.0,0.0,0.0,0,12
insula-rh,0.0,0.0,0.0,0.0,0,3
isthmuscingulate-lh,0.0,0.0,0.0,0.0,0,5
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0,5
lateraloccipital-lh,0.0,0.0,0.0,0.0,0,10
lateraloccipital-rh,0.0,0.0,0.0,0.0,0,9
lateralorbitofrontal-lh,0.0,0.0,0.0,0.0,0,4
lateralorbitofrontal-rh,0.0,0.0,0.0,0.0,0,6
lingual-lh,0.0,0.0,0.0,0.0,0,3
lingual-rh,0.0,0.0,0.0,0.0,0,2
medialorbitofrontal-lh,0.0,0.0,0.0,0.0,0,4
medialorbitofrontal-rh,0.0,0.0,0.0,0.0,0,6
middletemporal-lh,0.0,0.0,0.0,0.0,0,4
middletemporal-rh,0.0,0.0,0.0,0.0,0,8
paracentral-lh,0.0,0.0,0.0,0.0,0,1
paracentral-rh,0.0,0.0,0.0,0.0,0,9
parahippocampal-lh,0.0,0.0,0.0,0.0,0,5
parahippocampal-rh,0.0,0.0,0.0,0.0,0,3
parsopercularis-lh,0.0,0.0,0.0,0.0,0,5
parsopercularis-rh,0.0,0.0,0.0,0.0,0,4
parsorbitalis-lh,0.0,0.0,0.0,0.0,0,1
parsorbitalis-rh,0.0,0.0,0.0,0.0,0,2
parstriangularis-lh,0.0,0.0,0.0,0.0,0,4
parstriangularis-rh,0.0,0.0,0.0,0.0,0,5
pericalcarine-lh,0.0,0.0,0.0,0.0,0,1
postcentral-lh,0.0,0.0,0.0,0.0,0,17
postcentral-rh,-0.009467329998266785,0.29367694285685686,0.13548923662897622,0.6003812829260065,2,12
posteriorcingulate-lh,0.0,0.0,0.0,0.0,0,8
posteriorcingulate-rh,0.0,0.0,0.0,0.0,0,5
precentral-lh,0.0,0.0,0.0,0.0,0,15
precentral-rh,0.0,0.0,0.0,0.0,0,16
precuneus-lh,0.0,0.0,0.0,0.0,0,8
precuneus-rh,0.0,0.0,0.0,0.0,0,7
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0,1
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.0,0,10
rostralmiddlefrontal-rh,0.0,0.0,0.0,0.0,0,12
superiorfrontal-lh,0.0,0.0,0.0,0.0,0,19
superiorfrontal-rh,0.0,0.0,0.0,0.0,0,16
superiorparietal-lh,-0.0008934821757128066,0.24833653468960074,0.09477484002443176,0.4951994518597954,5,14
superiorparietal-rh,0.0,0.0,0.0,0.0,0,16
superiortemporal-lh,0.0,0.0,0.0,0.0,0,10
superiortemporal-rh,0.0,0.0,0.0,0.0,0,12
supramarginal-lh,0.0,0.0,0.0,0.0,0,10
supramarginal-rh,-0.007487553352206551,0.22089450326563637,0.08066020801028341,0.0,1,15
temporalpole-lh,0.0,0.0,0.0,0.0,0,2
temporalpole-rh,0.0,0.0,0.0,0.0,0,1
transversetemporal-lh,0.0,0.0,0.0,0.0,0,1
transversetemporal-rh,0.0,0.0,0.0,0.0,0,2
